informal_date,formal_date
پنجم اردیبهشت 1402,1402/02/05
17 آبان 1395,1395/08/17
1 1403 مهر,1403/07/01
سال مهر اول 1403,1403/07/01
1403-07-01,1403/07/01
سی ام دی 1398,1398/10/30
1401-05-15,1401/05/15
پانزدهم خرداد 1401,1401/03/15
اول آبان 1394,1394/08/01
1394-08-01,1394/08/01
سی و یکم فروردین 1405,1405/01/31
1405-01-31,1405/01/31
پنجم بهمن 1399,1399/11/05
1399-11-05,1399/11/05
اول اسفند 1400,1400/12/01
1400-12-01,1400/12/01
سی ام آبان 1396,1396/08/30
1396-08-30,1396/08/30
پانزدهم دی 1403,1403/10/15
1403-10-15,1403/10/15
اول بهمن 1397,1397/11/01
1397-11-01,1397/11/01
سی و یکم اردیبهشت 1404,1404/02/31
1404-02-31,1404/02/31
پنجم تیر 1401,1401/04/05
1401-04-05,1401/04/05
اول مرداد 1398,1398/05/01
1398-05-01,1398/05/01
سی ام شهریور 1402,1402/06/30
1402-06-30,1402/06/30
پانزدهم مهر 1405,1405/07/15
1405-07-15,1405/07/15
اول آبان 1400,1400/08/01
1400-08-01,1400/08/01
سی و یکم دی 1403,1403/10/31
1403-10-31,1403/10/31
پنجم بهمن 1404,1404/11/05
1404-11-05,1404/11/05
اول اسفند 1399,1399/12/01
1399-12-01,1399/12/01
سی ام فروردین 1401,1401/01/30
1401-01-30,1401/01/30
پانزدهم اردیبهشت 1402,1402/02/15
1402-02-15,1402/02/15
اول تیر 1396,1396/04/01
1396-04-01,1396/04/01
سی و یکم مرداد 1405,1405/05/31
1405-05-31,1405/05/31
پنجم شهریور 1401,1401/06/05
1401-06-05,1401/06/05
اول مهر 1397,1397/07/01
1397-07-01,1397/07/01
سی ام آبان 1404,1404/08/30
1404-08-30,1404/08/30
پانزدهم آذر 1402,1402/09/15
1402-09-15,1402/09/15
اول دی 1396,1396/10/01
1396-10-01,1396/10/01
سی و یکم بهمن 1405,1405/11/31
1405-11-31,1405/11/31
پنجم اسفند 1401,1401/12/05
1401-12-05,1401/12/05
اول فروردین 1398,1398/01/01
1398-01-01,1398/01/01
سی ام اردیبهشت 1403,1403/02/30
1403-02-30,1403/02/30
پانزدهم تیر 1402,1402/04/15
1402-04-15,1402/04/15
اول مرداد 1399,1399/05/01
1399-05-01,1399/05/01
سی و یکم شهریور 1404,1404/06/31
1404-06-31,1404/06/31
پنجم مهر 1401,1401/07/05
1401-07-05,1401/07/05
اول آبان 1398,1398/08/01
1398-08-01,1398/08/01
سی ام آذر 1403,1403/09/30
1403-09-30,1403/09/30
پانزدهم دی 1402,1402/10/15
1402-10-15,1402/10/15
اول بهمن 1399,1399/11/01
1399-11-01,1399/11/01
سی و یکم اسفند 1404,1404/12/31
1404-12-31,1404/12/31
پنجم فروردین 1402,1402/01/05
1402-01-05,1402/01/05
اول اردیبهشت 1400,1400/02/01
1400-02-01,1400/02/01
سی ام تیر 1403,1403/04/30
1403-04-30,1403/04/30
پانزدهم مرداد 1402,1402/05/15
1402-05-15,1402/05/15
اول شهریور 1400,1400/06/01
1400-06-01,1400/06/01
سی و یکم مهر 1404,1404/07/31
1404-07-31,1404/07/31
پنجم آبان 1402,1402/08/05
1402-08-05,1402/08/05
اول آذر 1400,1400/09/01
1400-09-01,1400/09/01
سی ام دی 1403,1403/10/30
1403-10-30,1403/10/30
پانزدهم بهمن 1402,1402/11/15
1402-11-15,1402/11/15
